Energy Consumption,GDP,Electricity Generation,Population,Oil Production,Gas Production,Year
1.65382728,1.64542E+11,20.452,9691471,9900.15847,334,1980
2.018998618,1.84292E+11,26.95,10311771,9814.947945,564,1981
1.985304395,1.53239E+11,32.912,10988851,6482.991781,430,1982
2.121985684,1.29172E+11,35.19,11701132,5085.89589,418,1983
2.466369324,1.19625E+11,40.069,12418836,4663.202186,620,1984
2.751670941,1.03898E+11,44.311,13118998,3387.821918,716,1985
3.008471585,86962013011,47.646,13794167,4870.016438,890,1986
3.06625715,85695941760,50.649,14445663,4264.991781,946,1987
3.182776662,88256162069,57.229,15070082,5085.95082,1028,1988
3.12009183,95344352824,61.568,15666289,5064.156164,1052,1989
3.342853831,1.1763E+11,64.899,16233786,6410.003595,1077,1990
3.49232639,1.32223E+11,69.212,16772695,8114.995863,1130,1991
3.683056448,1.37088E+11,74.009,17282686,8332.19425,1201,1992
3.776692043,1.32968E+11,82.183,17763297,8893.532877,1268,1993
3.876215015,1.35175E+11,91.019,18214475,9101.178082,1331,1994
3.818281287,1.43343E+11,97.846,18638790,9235.190411,1343,1995
4.105638224,1.58662E+11,101.114,19033843,9237.669945,1460,1996
4.355596963,1.65964E+11,107.546,19407138,9400.294521,1601,1997
4.533986339,1.46775E+11,114.624,19783301,9471.576712,1653,1998
4.858353085,1.61717E+11,112.8,20194531,8906.975342,1632,1999
5.100792499,1.89515E+11,118.62,20663840,9475.748954,1759,2000
5.296418524,1.84137E+11,125.653,21202646,9156.639951,1896,2001
5.509827835,1.89606E+11,133.233,21805322,8809.506658,2002,2002
5.760534863,2.15808E+11,143.82,22456645,10076.81061,2121,2003
6.293224733,2.58742E+11,150.282,23132686,10796.24167,2319,2004
6.667400243,3.2846E+11,165.557,23816175,11496.30799,2516,2005
6.941081177,3.769E+11,170.548,24498313,11098.43877,2594,2006
7.160871089,4.15965E+11,179.103,25184589,10748.62285,2628,2007
7.703644012,5.19797E+11,191.948,25888535,11428.60043,2841,2008
8.024592483,4.29098E+11,204.057,26630303,10314.71145,2770,2009
8.808170264,5.28207E+11,225.66298,27421468,9748.230344,3096,2010
9.210311875,6.71239E+11,235.07238,28267591,11017.79516,3258,2011
9.794032044,7.35975E+11,271.39072,29154906,11490.27136,3439,2012
9.791980008,7.46647E+11,284.03086,30052058,11272.06727,3462,2013
10.35935292,7.5635E+11,316.27304,30916603,11334.20971,3547,2014
10.64983241,6.5427E+11,337.49406,31717676,11763.09706,3614,2015
10.46476118,6.44936E+11,345.59216,32443443,12170.17616,3739,2016
10.94649442,6.88586E+11,355.61422,33101183,11832.44237,3859,2017
10.17498718,7.86522E+11,363.67566,33702757,12113.91229,3928,2018
10.16101475,7.92967E+11,362.4365,34268529,11466.68564,3982,2019
